0.761999845505
         436836 function calls (433877 primitive calls) in 1.695 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 misc.py:1(<module>)
        1    0.000    0.000    0.001    0.001 patches.py:2867(ArrowStyle)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      603    0.000    0.000    0.000    0.000 {max}
        1    0.000    0.000    0.001    0.001 pyplot.py:1743(get_plot_commands)
        1    0.000    0.000    0.001    0.001 colors.py:48(<module>)
      483    0.000    0.000    0.001    0.000 fancy_getopt.py:113(get_attr_name)
        1    0.000    0.000    0.000    0.000 release.py:161(get_info)
       14    0.000    0.000    0.001    0.000 cbook.py:164(deprecate)
        1    0.000    0.000    0.001    0.001 correlation.py:3(<module>)
       50    0.000    0.000    0.000    0.000 colors.py:326(to_rgba)
        7    0.000    0.000    0.000    0.000 dist.py:128(__init__)
        2    0.000    0.000    0.000    0.000 _distn_infrastructure.py:3169(get_distribution_names)
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mixing.py:4(<module>)
        1    0.000    0.000    0.000    0.000 legend_handler.py:25(<module>)
        1    0.000    0.000    0.000    0.000 geometric.py:4(<module>)
      705    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        6    0.000    0.000    0.000    0.000 patches.py:1573(_pprint_table)
        1    0.000    0.000    0.000    0.000 dviread.py:20(<module>)
        1    0.000    0.000    0.000    0.000 bipartite.py:5(<module>)
        1    0.000    0.000    0.000    0.000 isomorphvf2.py:129(<module>)
      204    0.000    0.000    0.000    0.000 _distn_infrastructure.py:704(<genexpr>)
      142    0.000    0.000    0.001    0.000 cm.py:61(_generate_cmap)
      750    0.000    0.000    0.000    0.000 pyximport.py:70(_debug)
      407    0.000    0.000    0.000    0.000 artist.py:983(aliased_name)
        1    0.000    0.000    0.001    0.001 ConfigParser.py:88(<module>)
       32    0.000    0.000    0.000    0.000 {nt._getfullpathname}
       24    0.000    0.000    0.000    0.000 pyparsing.py:1484(__init__)
       77    0.000    0.000    0.002    0.000 genericpath.py:15(exists)
     1341    0.000    0.000    0.000    0.000 _mathtext_data.py:1767(<genexpr>)
       10    0.000    0.000    0.001    0.000 colors.py:742(from_list)
       70    0.000    0.000    0.001    0.000 _abcoll.py:526(update)
